bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "ids") / pv("top-level" "width" ?resultsDir "/home/vlsiuser28/simulation/likith_techplots/nmos_techplots/adexl/results/data/Interactive.0/psf/likith_techplots:nmos_techplots:1" ?result "designParamVals"))) length 4.5e-08 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "ids") / pv("top-level" "width" ?resultsDir "/home/vlsiuser28/simulation/likith_techplots/nmos_techplots/adexl/results/data/Interactive.0/psf/likith_techplots:nmos_techplots:1" ?result "designParamVals"))) length 9e-08 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "ids") / pv("top-level" "width" ?resultsDir "/home/vlsiuser28/simulation/likith_techplots/nmos_techplots/adexl/results/data/Interactive.0/psf/likith_techplots:nmos_techplots:1" ?result "designParamVals"))) length 1.35e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "ids") / pv("top-level" "width" ?resultsDir "/home/vlsiuser28/simulation/likith_techplots/nmos_techplots/adexl/results/data/Interactive.0/psf/likith_techplots:nmos_techplots:1" ?result "designParamVals"))) length 1.8e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "ids") / pv("top-level" "width" ?resultsDir "/home/vlsiuser28/simulation/likith_techplots/nmos_techplots/adexl/results/data/Interactive.0/psf/likith_techplots:nmos_techplots:1" ?result "designParamVals"))) length 2.25e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "ids") / pv("top-level" "width" ?resultsDir "/home/vlsiuser28/simulation/likith_techplots/nmos_techplots/adexl/results/data/Interactive.0/psf/likith_techplots:nmos_techplots:1" ?result "designParamVals"))) length 2.7e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "ids") / pv("top-level" "width" ?resultsDir "/home/vlsiuser28/simulation/likith_techplots/nmos_techplots/adexl/results/data/Interactive.0/psf/likith_techplots:nmos_techplots:1" ?result "designParamVals"))) length 3.15e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "ids") / pv("top-level" "width" ?resultsDir "/home/vlsiuser28/simulation/likith_techplots/nmos_techplots/adexl/results/data/Interactive.0/psf/likith_techplots:nmos_techplots:1" ?result "designParamVals"))) length 3.6e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "ids") / pv("top-level" "width" ?resultsDir "/home/vlsiuser28/simulation/likith_techplots/nmos_techplots/adexl/results/data/Interactive.0/psf/likith_techplots:nmos_techplots:1" ?result "designParamVals"))) length 4.05e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "ids") / pv("top-level" "width" ?resultsDir "/home/vlsiuser28/simulation/likith_techplots/nmos_techplots/adexl/results/data/Interactive.0/psf/likith_techplots:nmos_techplots:1" ?result "designParamVals"))) length 4.5e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "ids") / pv("top-level" "width" ?resultsDir "/home/vlsiuser28/simulation/likith_techplots/nmos_techplots/adexl/results/data/Interactive.0/psf/likith_techplots:nmos_techplots:1" ?result "designParamVals"))) length 4.95e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "ids") / pv("top-level" "width" ?resultsDir "/home/vlsiuser28/simulation/likith_techplots/nmos_techplots/adexl/results/data/Interactive.0/psf/likith_techplots:nmos_techplots:1" ?result "designParamVals"))) length 5.4e-07 
29.76,7.438E-6,32.54,3.344E-6,33.08,3.544E-6,33.27,3.935E-6,33.38,4.346E-6,33.45,4.720E-6,33.50,5.044E-6,33.54,5.319E-6,33.57,5.549E-6,33.59,5.740E-6,33.61,5.896E-6,33.66,5.959E-6
29.65,145.2E-6,32.42,86.19E-6,32.92,96.37E-6,33.08,108.9E-6,33.16,121.5E-6,33.21,132.8E-6,33.23,142.5E-6,33.24,150.8E-6,33.25,157.6E-6,33.25,163.2E-6,33.24,167.8E-6,33.27,170.4E-6
28.95,2.739E-3,31.55,2.128E-3,31.92,2.491E-3,31.94,2.846E-3,31.89,3.184E-3,31.81,3.479E-3,31.72,3.726E-3,31.63,3.929E-3,31.53,4.093E-3,31.45,4.224E-3,31.36,4.329E-3,31.31,4.393E-3
26.65,45.10E-3,28.53,44.19E-3,28.42,52.56E-3,28.09,59.18E-3,27.72,64.87E-3,27.38,69.36E-3,27.08,72.78E-3,26.82,75.31E-3,26.59,77.11E-3,26.38,78.33E-3,26.20,79.11E-3,26.04,79.38E-3
21.33,507.1E-3,22.14,564.2E-3,21.91,654.2E-3,21.62,710.0E-3,21.30,749.9E-3,21.00,775.8E-3,20.73,791.0E-3,20.49,798.2E-3,20.27,799.6E-3,20.08,796.8E-3,19.90,791.0E-3,19.73,780.6E-3
16.35,3.257,17.15,3.933,16.69,4.461,16.12,4.668,15.57,4.737,15.12,4.722,14.73,4.659,14.41,4.567,14.15,4.461,13.92,4.348,13.73,4.232,13.55,4.102
13.48,14.41,12.74,17.66,11.57,18.33,10.82,17.82,10.30,17.07,9.932,16.29,9.662,15.53,9.456,14.81,9.295,14.15,9.166,13.55,9.061,12.99,8.959,12.41
9.936,46.80,8.336,50.13,7.496,46.85,7.063,42.88,6.803,39.53,6.631,36.73,6.513,34.36,6.429,32.33,6.367,30.56,6.320,29.01,6.285,27.63,6.235,26.21
6.572,105.9,5.460,98.66,5.043,86.74,4.849,77.04,4.738,69.78,4.669,64.11,4.622,59.53,4.588,55.71,4.560,52.47,4.536,49.65,4.514,47.18,4.479,44.59
4.389,181.5,3.775,155.4,3.566,132.6,3.466,116.2,3.397,104.4,3.341,95.38,3.292,88.17,3.247,82.20,3.206,77.15,3.168,72.77,3.134,68.94,3.104,64.93
3.086,262.3,2.721,214.3,2.573,179.8,2.484,156.1,2.416,139.2,2.362,126.5,2.317,116.3,2.280,108.0,2.249,101.0,2.222,94.95,2.199,89.69,2.181,84.28
